DATE,LATITUDE,LONGITUDE,SEA_LVL_PRES,SST_MM,SEA_SURF_TEMP,WAVE_PERIOD,WAVE_HGT
2013-03-13,37.54,130.0,10192.875,9.0,101.375,7.375,5.125
2013-03-14,37.54,130.0,10260.57142857143,9.0,108.875,5.875,3.0
2013-03-15,37.54,130.0,10200.0,9.0,115.875,4.75,2.0
2013-03-16,37.54,130.0,10214.0,9.0,120.25,5.375,2.125
2013-03-17,37.54,130.0,10081.75,9.0,120.125,5.125,2.875
2013-03-18,37.54,130.0,10028.625,9.0,127.125,6.125,2.125
2013-03-19,37.54,130.0,10120.75,9.0,128.5,6.625,3.25
2013-03-20,37.54,130.0,10123.0,9.0,120.875,8.0,5.75
2013-03-21,37.54,130.0,10127.25,9.0,127.625,6.0,3.25
2013-03-22,37.54,130.0,10117.285714285714,9.0,116.875,4.875,2.25
2013-03-23,37.54,130.0,10119.875,9.0,124.875,5.875,3.0
2013-03-24,37.54,130.0,10120.0,9.0,133.875,6.125,3.5
2013-03-25,37.54,130.0,10180.75,9.0,135.25,6.0,3.125
2013-03-26,37.54,130.0,10184.25,9.0,135.375,4.875,2.25
2013-03-27,37.54,130.0,10119.0,9.0,140.25,4.5,2.125
2013-03-28,37.54,130.0,10142.333333333334,9.0,137.71428571428572,4.857142857142857,1.7142857142857142
2013-03-29,37.54,130.0,10204.25,9.0,139.375,5.25,2.25
2013-03-30,37.54,130.0,10183.875,9.0,138.5,4.625,1.875
2013-03-31,37.54,130.0,10231.333333333334,9.0,137.0,5.0,3.0
2013-04-01,37.54,130.0,10181.25,9.0,141.25,4.5,2.5
2013-04-02,37.54,130.0,10109.375,9.0,144.375,5.75,3.625
2013-04-03,37.54,130.0,10105.714285714286,9.0,144.0,5.875,1.875
2013-04-04,37.54,130.0,10192.5,9.0,137.75,6.0,2.75
2013-04-05,37.54,130.0,10125.625,9.0,137.75,5.25,1.125
2013-04-06,37.54,130.0,9963.125,9.0,131.625,6.75,6.25
